"Paragraf";"2004";"2005";"2006";"2007";"2008";"2009" 
"06 Udenrigsministeriet";0.0;0.0;4.6;4.3;4.1;4.1
"07 Finansministeriet";0.0;0.0;2326.0;1861.4;1860.2;1860.2
"08 Økonomi- og Erhvervsministeriet";0.0;0.0;118.9;111.0;108.9;106.5
"09 Skatteministeriet";0.0;0.0;-116.8;-41.4;0.9;0.4
"11 Justitsministeriet";0.0;0.0;97.2;133.7;40.2;40.0
"12 Forsvarsministeriet";0.0;0.0;363.2;0.0;0.0;0.0
"15 Socialministeriet";0.0;0.0;1057.8;1736.5;1666.9;293.8
"16 Indenrigs- og Sundhedsministeriet";0.0;0.0;-10.2;36.7;45.9;41.8
"17 Beskæftigelsesministeriet";0.0;0.0;-1684.7;-1311.9;-1239.9;-1054.2
"18 Integrationsministeriet";0.0;0.0;82.8;89.9;89.8;68.6
"19 Videnskabsministeriet";0.0;0.0;4.0;46.8;89.1;102.9
"20 Undervisningsministeriet";0.0;0.0;-71.0;483.4;587.6;698.4
"21 Kulturministeriet";0.0;0.0;91.5;-33.5;46.1;36.9
"22 Kirkeministeriet";0.0;0.0;-24.3;-11.1;5.9;5.9
"23 Miljøministeriet";0.0;0.0;0.0;15.5;15.5;15.5
"24 Fødevareministeriet";0.0;0.0;90.1;14.2;14.7;10.8
"27 Ministeriet for Familie- og Forbrugeranl";0.0;0.0;-12.9;-27.3;-27.6;-27.8
"28 Transport- og Energiministeriet";0.0;0.0;-2691.4;-966.7;-517.9;-1585.1
"34 Arbejdsmarkedsfond";0.0;0.0;-100.7;-151.7;-137.7;-135.7
"35 Generelle reserver";0.0;0.0;-423.0;-1263.5;-1287.3;-1020.2
"37 Renter";0.0;0.0;-2902.4;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-3663.9;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;1770.9;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;1879.0;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;3815.3;0.0;0.0;0.0
