"Paragraf";"2003";"2004";"2005";"2006";"2007";"2008" 
"01 Dronningen";58.1;59.7;61.4;61.4;61.4;61.4
"02 Medlemmer af det kongelige hus";7.9;8.1;18.8;18.8;18.8;18.8
"03 Folketinget";763.4;770.6;790.4;785.7;785.7;785.7
"05 Statsministeriet";123.3;113.1;110.0;109.1;109.1;109.1
"06 Udenrigsministeriet";12395.7;11374.6;12771.3;12736.9;12623.0;12579.2
"07 Finansministeriet";665.1;2838.6;3226.4;3205.6;3235.1;3216.2
"08 Økonomi- og Erhvervsministeriet";715.1;-3188.5;-1668.7;-1692.6;-1727.5;-2086.6
"09 Skatteministeriet";3466.5;3477.1;3489.0;3346.6;3245.2;3184.7
"11 Justitsministeriet";8442.2;8944.2;9324.3;9134.1;8896.1;8896.8
"12 Forsvarsministeriet";19241.0;18996.4;18357.5;19211.6;19201.2;19099.1
"15 Socialministeriet";96849.2;100196.7;105258.1;110337.1;111491.7;112865.6
"16 Indenrigs- og Sundhedsministeriet";38311.4;48434.3;54463.8;51104.9;51126.5;51091.9
"17 Beskæftigelsesministeriet";85669.3;88979.9;85483.7;82367.4;82843.5;83286.7
"18 Integrationsministeriet";4948.5;3953.5;2536.4;2589.7;2276.2;2220.0
"19 Videnskabsministeriet";11800.8;12815.0;13411.3;13362.8;13462.5;13770.2
"20 Undervisningsministeriet";29604.8;30681.8;31140.7;31318.3;31321.2;31376.9
"21 Kulturministeriet";3942.3;4242.2;4504.9;4351.9;4391.0;4105.6
"22 Kirkeministeriet";446.2;557.5;526.2;580.9;565.0;579.8
"23 Miljøministeriet";1727.7;1565.8;1395.6;1371.2;1348.1;1334.4
"24 Fødevareministeriet";2674.1;2491.3;2574.1;2418.6;2405.3;2385.6
"28 Transport- og Energiministeriet";10206.7;9917.5;10497.9;10465.4;9843.0;9621.8
"34 Arbejdsmarkedsfond";-79921.3;-82390.3;-81860.6;-84887.6;-84925.6;-84947.6
"35 Generelle reserver";4971.8;5688.0;5541.0;9579.1;10217.3;10481.8
"36 Pensionsvæsenet";11723.2;12087.7;12960.3;13234.6;13526.6;13822.0
"37 Renter";32573.4;29476.1;28639.1;0.0;0.0;0.0
"38 Skatter og afgifter";-313845.8;-322127.2;-344029.1;4161.0;4161.0;4161.0
"40 Genudlån mv";752.1;5098.2;4158.5;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";4790.8;2732.8;-317.2;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";6896.6;2205.3;16634.9;0.0;0.0;0.0
