"Paragraf";"2009";"2010";"2011";"2012";"2013";"2014" 
"01 Dronningen";70.6;71.2;71.1;71.1;71.1;71.1
"02 Medlemmer af det kongelige hus mfl";24.0;24.3;24.3;24.3;24.3;24.3
"03 Folketinget";1042.2;988.6;975.1;972.3;972.8;972.3
"05 Statsministeriet";131.6;116.3;126.0;125.8;126.9;126.7
"06 Udenrigsministeriet";14880.1;15482.6;14420.6;15206.0;15157.9;15348.4
"07 Finansministeriet";6415.7;6315.0;6655.1;5246.3;4206.3;4174.2
"08 Erhvervs- og Vækstministeriet";4132.4;1976.2;2161.4;2069.8;1528.2;1445.3
"09 Skatteministeriet";4697.6;4423.3;4200.4;3844.2;3478.8;3318.5
"11 Justitsministeriet";14198.2;13062.9;12832.2;12233.9;11917.5;11679.3
"12 Forsvarsministeriet";21085.3;23064.1;23207.3;23226.7;23230.4;23211.7
"15 Socialministeriet";8552.6;9648.8;7439.7;6980.6;6861.0;6711.5
"16 Indenrigs- og Sundhedsministeriet";169621.9;194130.5;200969.3;195538.3;193652.6;193732.3
"17 Beskæftigelsesministeriet";180880.2;189435.5;193785.6;193224.2;191323.6;192527.3
"18 Integrationsministeriet";2427.5;2602.1;2968.8;2908.0;2848.6;2743.2
"19 Videnskabsministeriet";18596.8;19737.5;19219.1;18815.5;16375.1;16839.7
"20 Undervisningsministeriet";45767.5;46593.5;49488.7;49070.9;48119.8;47833.3
"21 Kulturministeriet";6125.6;6044.2;5968.4;5834.0;5803.8;5710.3
"22 Kirkeministeriet";871.1;664.8;599.7;592.5;591.7;591.0
"23 Miljøministeriet";2101.6;1917.3;2025.0;1796.0;1746.6;1622.8
"24 Fødevareministeriet";3513.9;2610.0;2644.0;2643.0;2449.1;2388.1
"28 Transportministeriet";15503.1;14344.5;15990.6;20232.6;19515.0;16538.5
"29 Klima- og Energiministeriet";-2837.2;-6753.1;-8140.1;-3738.3;456.0;342.1
"35 Generelle reserver";9085.8;10361.8;13628.2;12793.3;16432.4;17208.0
"36 Pensionsvæsenet";19387.7;20317.5;21220.0;21617.3;22019.1;22339.8
"37 Renter";17059.6;15674.4;18747.4;0.0;0.0;0.0
"38 Skatter og afgifter";-532010.3;-517004.2;-561357.1;0.0;0.0;0.0
"40 Genudlån mv";81980.2;-2894.4;15606.5;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-1848.7;25.1;3929.0;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";-109969.3;-74473.9;-71246.1;0.0;0.0;0.0
