"Paragraf";"2008";"2009";"2010";"2011";"2012";"2013" 
"06 Udenrigsministeriet";0.0;0.0;43.7;10.7;7.2;9.2
"07 Finansministeriet";0.0;0.0;850.3;535.3;328.6;292.8
"08 Økonomi- og Erhvervsministeriet";0.0;0.0;176.2;167.4;166.7;-15.1
"09 Skatteministeriet";0.0;0.0;145.1;35.7;35.5;35.3
"11 Justitsministeriet";0.0;0.0;322.6;335.1;224.2;222.8
"12 Forsvarsministeriet";0.0;0.0;388.6;590.9;590.9;590.9
"15 Socialministeriet";0.0;0.0;911.9;523.7;484.3;444.5
"16 Indenrigs- og Sundhedsministeriet";0.0;0.0;727.6;235.2;237.2;234.3
"17 Beskæftigelsesministeriet";0.0;0.0;4174.9;3500.2;3344.6;3153.2
"18 Integrationsministeriet";0.0;0.0;301.0;290.6;327.6;345.1
"19 Videnskabsministeriet";0.0;0.0;2220.4;2322.2;2395.6;184.6
"20 Undervisningsministeriet";0.0;0.0;1115.7;2949.3;3294.1;2444.7
"21 Kulturministeriet";0.0;0.0;25.5;30.1;17.0;17.1
"23 Miljøministeriet";0.0;0.0;-14.8;-56.7;-49.7;-52.3
"24 Fødevareministeriet";0.0;0.0;87.5;-6.3;52.9;12.1
"28 Transportministeriet";0.0;0.0;-1297.3;205.6;776.6;167.7
"29 Klima- og Energiministeriet";0.0;0.0;-560.4;-792.0;-186.2;-53.3
"35 Generelle reserver";0.0;0.0;-5387.5;-5710.9;-5994.4;-5740.7
"37 Renter";0.0;0.0;-2334.1;0.5;0.5;0.5
"38 Skatter og afgifter";0.0;0.0;-16485.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-21101.8;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;-106.4;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;34990.3;0.0;0.0;0.0
