"Paragraf";"2010";"2011";"2012";"2013";"2014";"2015" 
"01 Dronningen";73.7;71.1;71.8;71.8;71.8;71.8
"02 Medlemmer af det kongelige hus mfl";25.0;24.3;24.6;24.6;24.6;24.6
"03 Folketinget";1000.7;975.1;988.3;988.8;988.3;988.3
"05 Statsministeriet";122.3;125.6;125.1;125.1;125.8;123.7
"06 Udenrigsministeriet";15488.2;14255.5;14888.1;14726.9;14765.8;14661.3
"07 Finansministeriet";9280.7;7656.1;4534.1;3423.2;3410.0;3339.7
"08 Erhvervs- og Vækstministeriet";320.8;1328.8;1256.4;732.2;741.7;725.8
"09 Skatteministeriet";4479.0;4226.1;4070.6;3675.5;3492.0;3507.0
"10 Økonomi- og Indenrigsministeriet";185911.8;193995.3;204578.1;202841.3;202730.0;203219.3
"11 Justitsministeriet";14325.1;14676.1;13633.8;13108.5;12840.3;12594.3
"12 Forsvarsministeriet";22364.5;23036.3;23285.8;23146.7;23127.2;20505.3
"14 Ministeriet for By. Bolig og Landdistrikter";5724.9;1408.7;1773.4;1757.7;1694.7;1655.4
"15 Social- og Integrationsministeriet";127601.1;132585.7;139959.9;142191.8;144490.9;147173.1
"16 Ministeriet for Sundhed og Forebyggelse";5927.5;7178.8;5316.3;2493.2;2136.3;2096.4
"17 Beskæftigelsesministeriet";68925.5;67303.4;72780.4;53845.2;53147.1;52098.8
"19 Uddannelsesministeriet";40008.0;41521.9;42787.7;41348.2;42049.2;41812.4
"20 Ministeriet for Børn og Undervisning";26655.7;28114.7;29444.0;28808.6;28937.9;28897.2
"21 Kulturministeriet";6611.1;6425.4;6354.7;6223.8;6171.6;6168.6
"22 Ministeriet for Ligestilling og Kirke";719.1;645.7;607.8;619.1;610.6;582.2
"23 Miljøministeriet";1730.7;2037.5;1763.4;1687.8;1592.9;1564.9
"24 Fødevareministeriet";2559.7;2690.5;2654.6;2436.5;2357.9;2302.0
"28 Transportministeriet";16136.5;15586.2;20748.2;19783.6;17582.6;12968.8
"29 Klima-. Energi- og Bygningsministeriet";-7905.0;-7026.4;-4143.1;-2838.3;-1866.0;-2003.4
"35 Generelle reserver";8852.6;10662.1;11550.2;15661.9;16940.5;16900.5
"36 Pensionsvæsenet";20129.2;20401.1;22007.0;22404.5;22768.6;23049.8
"37 Renter";17453.8;16193.8;19873.1;0.0;0.0;0.0
"38 Skatter og afgifter";-505384.9;-574789.1;-562013.8;0.0;0.0;0.0
"40 Genudlån mv";-1132.1;11528.3;856.1;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";6094.9;4093.9;-4488.4;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";-93661.6;-49173.7;-76199.2;0.0;0.0;0.0
