"Paragraf";"2006";"2007";"2008";"2009";"2010";"2011" 
"01 Dronningen";62.8;64.3;65.9;65.9;65.9;65.9
"02 Medlemmer af det kongelige hus mfl";20.6;21.1;21.7;21.7;21.7;21.7
"03 Folketinget";814.7;844.7;864.2;863.0;860.9;861.1
"05 Statsministeriet";104.6;114.1;121.4;118.1;107.4;105.4
"06 Udenrigsministeriet";13405.6;13702.1;14454.3;14634.0;15171.3;15305.9
"07 Finansministeriet";6408.3;7861.3;5678.5;5852.0;5808.9;5632.5
"08 Økonomi- og Erhvervsministeriet";415.6;587.3;1912.3;2024.6;1934.4;1924.1
"09 Skatteministeriet";5330.8;5458.4;4214.8;3791.2;3462.2;3358.4
"11 Justitsministeriet";9276.7;10587.9;10969.7;11044.2;10968.6;10637.5
"12 Forsvarsministeriet";21182.8;20693.3;20729.3;20336.7;19502.4;19103.2
"15 Velfærdsministeriet";175921.7;242991.9;256295.7;259097.9;263200.7;266010.8
"16 Ministeriet for Sundhed og Forebyggelse";3997.2;4627.3;4242.2;1636.5;1561.6;1401.6
"17 Beskæftigelsesministeriet";63120.0;64554.9;60087.3;60288.6;59152.1;57799.8
"18 Integrationsministeriet";2140.5;2123.2;1995.1;1900.8;1800.7;1727.8
"19 Videnskabsministeriet";14634.3;15049.2;16605.2;17079.2;15508.1;16033.1
"20 Undervisningsministeriet";30662.6;40809.1;42212.4;43309.0;42670.0;42758.8
"21 Kulturministeriet";4591.5;5509.1;5645.9;5654.3;5606.2;5558.1
"22 Kirkeministeriet";578.4;687.5;744.3;729.6;728.5;727.8
"23 Miljøministeriet";1199.5;2081.8;2010.4;2063.6;1703.3;1681.7
"24 Fødevareministeriet";2250.1;2770.7;2585.7;2694.3;2593.4;2498.6
"28 Transportministeriet";9529.6;10715.4;11347.8;12148.6;12467.8;11935.2
"29 Klima- og Energiministeriet";-10485.1;-9766.1;-10988.2;-8877.3;-8556.8;-8748.5
"35 Generelle reserver";6574.2;7530.6;10339.2;12516.1;15987.8;17932.0
"36 Pensionsvæsenet";13888.0;17148.2;18019.3;18550.1;19040.7;19433.0
"37 Renter";20799.9;16222.5;15743.5;0.0;0.0;0.0
"38 Skatter og afgifter";-494998.3;-552317.1;-572822.5;0.0;0.0;0.0
"40 Genudlån mv";12430.8;6615.0;7817.5;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-4096.2;3888.5;1744.9;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";90238.9;57962.4;66747.0;0.0;0.0;0.0
