"Paragraf";"2001";"2002";"2003";"2004";"2005";"2006" 
"01 Dronningen";53.1;57.0;58.5;58.5;58.5;58.5
"02 Medlemmer af det kongelige hus";8.9;7.7;7.9;7.9;7.9;7.9
"03 Folketinget";696.0;786.8;787.2;746.3;747.1;747.1
"05 Statsministeriet";112.7;108.4;118.2;111.5;105.8;105.8
"06 Udenrigsministeriet";14052.7;12450.7;12616.7;11832.1;11784.4;11762.4
"07 Finansministeriet";1748.3;2392.7;3091.4;3068.3;3040.8;2901.5
"08 Økonomi- og Erhvervsministeriet";3478.4;2102.6;1485.1;1565.0;1465.4;1396.9
"09 Skatteministeriet";3392.7;3253.0;3231.8;3080.1;2948.2;2946.2
"11 Justitsministeriet";7825.1;7812.1;7901.8;7497.9;7108.3;7107.6
"12 Forsvarsministeriet";18208.2;18203.3;18707.5;18686.6;18227.1;18340.1
"15 Socialministeriet";85188.8;93258.3;95905.2;90547.2;93533.0;97013.8
"16 Indenrigs- og Sundhedsministeriet";42718.9;37997.6;38585.8;43575.3;43466.3;43339.7
"17 Beskæftigelsesministeriet";75778.7;77383.4;80975.9;81517.5;79286.8;77402.6
"18 Integrationsministeriet";4759.1;5690.2;5436.2;4739.7;4296.7;4107.9
"19 Videnskabsministeriet";9042.3;11744.3;11678.2;11289.5;11015.9;10676.2
"20 Undervisningsministeriet";27878.9;29252.5;30242.0;29909.3;29650.5;29855.4
"21 Kulturministeriet";4042.5;3957.7;3946.1;4076.5;4100.2;4104.9
"22 Kirkeministeriet";431.0;437.6;449.0;450.2;449.3;448.7
"23 Miljøministeriet";2645.1;1771.9;1829.2;1413.7;1355.0;1350.8
"24 Fødevareministeriet";2954.5;2979.6;2982.2;2645.1;2494.6;2454.9
"28 Trafikministeriet";9167.1;9119.6;9957.2;9210.9;8623.0;8134.0
"34 Arbejdsmarkedsfond";-75714.6;-80682.6;-81699.0;-81718.0;-81691.0;-81674.0
"35 Generelle reserver";5364.6;6669.0;8169.7;11942.7;13317.9;12043.3
"36 Pensionsvæsenet";10175.1;10777.1;11475.8;11879.2;12339.5;12851.6
"37 Renter";41910.0;36699.7;35573.4;0.0;0.0;0.0
"38 Skatter og afgifter";-319875.5;-310698.5;-314504.4;3920.0;3920.0;3920.0
"40 Genudlån mv";2421.6;5902.7;9916.9;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-1333.8;16356.3;3150.7;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";22869.9;-5790.7;-2076.2;0.0;0.0;0.0
