"Paragraf";"2008";"2009";"2010";"2011";"2012";"2013" 
"01 Dronningen";66.9;69.3;71.2;71.2;71.2;71.2
"02 Medlemmer af det kongelige hus mfl";22.4;23.7;24.3;24.3;24.3;24.3
"03 Folketinget";914.8;932.6;988.6;965.5;963.3;963.8
"05 Statsministeriet";123.4;123.8;116.3;119.3;116.7;115.3
"06 Udenrigsministeriet";13372.1;15241.1;15438.9;15768.2;15917.9;16075.8
"07 Finansministeriet";6267.3;5453.9;5464.7;5237.5;4130.4;3139.0
"08 Økonomi- og Erhvervsministeriet";1941.9;1851.6;1800.0;1872.7;1881.0;1514.1
"09 Skatteministeriet";4520.0;4449.3;4278.2;4013.8;3869.0;3701.6
"11 Justitsministeriet";11663.5;12201.8;12740.3;12393.3;11993.5;11744.3
"12 Forsvarsministeriet";22288.1;22060.7;22675.5;22417.8;22419.0;22422.8
"15 Socialministeriet";153123.1;168282.9;196684.2;195239.8;194711.3;193933.1
"16 Indenrigs- og Sundhedsministeriet";4711.0;5139.3;5455.6;2263.9;2181.0;1963.7
"17 Beskæftigelsesministeriet";162816.8;173800.9;185294.4;186146.0;187292.1;188500.2
"18 Integrationsministeriet";2086.3;2199.4;2301.1;2238.2;2154.7;2038.1
"19 Videnskabsministeriet";15961.7;18175.4;17517.1;16833.8;16653.6;16665.8
"20 Undervisningsministeriet";40722.3;44328.0;45477.8;45403.4;45247.2;45221.7
"21 Kulturministeriet";5778.5;5945.4;6018.7;5943.2;5827.7;5790.3
"22 Kirkeministeriet";746.2;874.4;664.8;664.9;658.0;657.3
"23 Miljøministeriet";2228.1;2096.3;1932.1;1967.7;1834.8;1827.5
"24 Fødevareministeriet";2716.9;2736.6;2522.5;2671.4;2596.8;2471.7
"28 Transportministeriet";11147.7;12826.4;15641.8;15894.1;14839.6;14058.3
"29 Klima- og Energiministeriet";-12116.9;-2502.7;-6226.5;-6399.0;-3052.4;637.7
"35 Generelle reserver";8431.5;9500.2;15749.3;18787.4;20341.1;21575.8
"36 Pensionsvæsenet";18157.0;19562.7;20317.5;20804.8;21192.1;21492.3
"37 Renter";18196.3;15379.6;18008.5;0.0;0.0;0.0
"38 Skatter og afgifter";-567071.0;-545640.8;-500519.2;0.0;0.0;0.0
"40 Genudlån mv";13507.3;4673.3;18207.4;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";10433.1;-306.1;131.5;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";48312.3;185.3;-109464.2;0.0;0.0;0.0
