"Paragraf";"2013";"2014";"2015";"2016";"2017";"2018" 
"05 Statsministeriet";-23.3;-31.0;-31.3;-31.3;-31.3;-31.3
"06 Udenrigsministeriet";0.0;0.0;-1592.6;22.7;22.7;22.7
"07 Finansministeriet";23.3;31.0;-445.6;40.8;35.2;39.7
"08 Erhvervs- og Vækstministeriet";0.0;0.0;362.8;933.1;1315.2;1071.8
"09 Skatteministeriet";0.0;0.0;63.6;62.0;58.5;58.4
"10 Økonomi- og Indenrigsministeriet";0.0;0.0;5.7;13.0;13.0;8.5
"11 Justitsministeriet";0.0;0.0;2905.8;49.7;48.9;48.9
"12 Forsvarsministeriet";0.0;0.0;2.0;0.0;0.0;0.0
"14 Ministeriet for By. Bolig og Landdistrikter";65.1;57.7;-144.7;-306.1;-306.1;-306.1
"15 Ministeriet for Børn. Liges. Integra. Sociale";0.0;0.0;435.1;761.0;749.3;509.8
"16 Ministeriet for Sundhed og Forebyggelse";0.0;0.0;560.0;1171.4;1213.9;925.1
"17 Beskæftigelsesministeriet";0.0;0.0;1165.4;2290.5;2212.5;1800.2
"19 Uddannelses- og Forskningsministeriet";0.0;0.0;420.9;-323.5;-160.3;36.3
"20 Undervisningsministeriet";0.0;0.0;-24.0;113.8;183.6;174.6
"21 Kulturministeriet";0.0;0.0;15.2;0.6;2.7;14.0
"22 Kirkeministeriet";0.0;0.0;2.0;0.0;0.0;0.0
"23 Miljøministeriet";0.0;0.0;108.3;136.9;137.7;137.5
"24 Fødevareministeriet";-65.1;-57.7;27.6;-86.4;-86.4;-86.4
"28 Transportministeriet";0.0;0.0;-101.1;300.3;719.7;1025.1
"29 Klima-. Energi- og Bygningsministeriet";0.0;0.0;133.8;177.1;238.5;203.2
"35 Generelle reserver";0.0;0.0;-3042.7;-3457.1;-3177.9;-2657.8
"36 Pensionsvæsenet";0.0;0.0;-60.0;-60.0;-60.0;-60.0
"37 Renter";0.0;0.0;-699.0;68.0;30.0;30.0
"38 Skatter og afgifter";0.0;0.0;-31422.4;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;5899.3;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;922.2;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;24533.7;0.0;0.0;0.0
