"Paragraf";"2004";"2005";"2006";"2007";"2008";"2009" 
"01 Dronningen";59.3;61.4;62.4;62.4;62.4;62.4
"02 Medlemmer af det kongelige hus";14.9;18.8;20.4;20.4;20.4;20.4
"03 Folketinget";774.6;792.4;836.6;808.2;804.7;804.7
"05 Statsministeriet";114.3;121.9;121.3;115.7;115.3;113.5
"06 Udenrigsministeriet";10971.3;12905.7;12796.1;12855.6;12826.9;12815.0
"07 Finansministeriet";1182.2;1193.3;3419.6;3410.5;3362.9;3332.5
"08 Økonomi- og Erhvervsministeriet";904.0;1371.2;1205.0;1351.0;1425.3;1312.4
"09 Skatteministeriet";3290.7;3016.5;5491.3;5301.8;4151.8;3762.9
"11 Justitsministeriet";8895.2;9561.3;9472.6;9197.4;9570.1;9475.2
"12 Forsvarsministeriet";19536.6;18986.3;19889.7;19523.2;19410.6;18937.4
"15 Socialministeriet";99442.0;105954.4;111256.6;114683.6;115697.1;118701.7
"16 Indenrigs- og Sundhedsministeriet";49162.3;54701.7;61593.2;61050.5;61328.7;61576.2
"17 Beskæftigelsesministeriet";79920.3;78259.9;74908.1;75637.8;76352.0;76949.6
"18 Integrationsministeriet";3751.1;2662.1;2191.5;2373.9;2316.8;2251.3
"19 Videnskabsministeriet";12777.2;13494.4;13621.1;13793.6;14012.9;13714.6
"20 Undervisningsministeriet";30397.4;31495.5;32232.7;32384.5;32670.0;32998.9
"21 Kulturministeriet";3973.2;4543.7;4501.4;4572.2;4298.4;4164.9
"22 Kirkeministeriet";558.1;534.9;614.8;609.3;598.4;593.8
"23 Miljøministeriet";1584.5;1498.0;1512.9;1448.3;1440.0;1434.5
"24 Fødevareministeriet";1928.4;1803.2;1877.8;1792.0;1762.1;1674.3
"27 Ministeriet for Familie- og Forbrugeranl";12024.3;12219.3;12389.2;13113.9;12958.9;12945.7
"28 Transport- og Energiministeriet";3018.7;2019.8;2900.2;3400.6;4132.7;4166.5
"34 Arbejdsmarkedsfond";-83961.9;-81991.6;-87267.3;-87046.3;-87066.3;-87075.3
"35 Generelle reserver";5621.5;5998.7;5734.1;9818.5;11556.6;12733.2
"36 Pensionsvæsenet";12492.2;12960.3;14123.0;14857.6;15283.9;15663.7
"37 Renter";31394.5;28858.8;23369.6;0.0;0.0;0.0
"38 Skatter og afgifter";-337546.0;-346450.1;-368762.6;0.0;0.0;0.0
"40 Genudlån mv";5434.8;4042.6;5166.8;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-1352.4;670.8;987.0;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";23636.7;18694.8;33734.9;0.0;0.0;0.0
