"Paragraf";"2005";"2006";"2007";"2008";"2009";"2010" 
"01 Dronningen";61.5;62.4;64.3;64.3;64.3;64.3
"02 Medlemmer af det kongelige hus";20.1;20.4;21.1;21.1;21.1;21.1
"03 Folketinget";801.2;836.6;844.7;837.8;837.8;837.8
"05 Statsministeriet";112.8;107.5;114.1;111.0;107.4;105.3
"06 Udenrigsministeriet";13365.0;12800.7;13665.2;13857.5;14075.4;14398.4
"07 Finansministeriet";5445.7;5750.6;5425.0;5305.8;5400.0;5443.2
"08 Økonomi- og Erhvervsministeriet";746.3;1323.9;855.4;1644.6;1585.1;1477.3
"09 Skatteministeriet";3901.7;5400.0;5430.4;4380.0;3902.1;3594.8
"11 Justitsministeriet";9118.0;9569.8;9995.6;10141.0;9883.5;9728.4
"12 Forsvarsministeriet";18963.8;20252.9;19989.7;19889.5;19399.6;19049.1
"15 Socialministeriet";104808.8;112275.3;109376.9;109900.8;111207.6;112926.4
"16 Indenrigs- og Sundhedsministeriet";54717.7;61596.6;137113.4;136397.7;136817.6;135372.4
"17 Beskæftigelsesministeriet";75917.3;73223.4;71388.9;73533.4;73848.3;73685.2
"18 Integrationsministeriet";2349.1;2274.3;2126.1;1813.9;1690.6;1576.9
"19 Videnskabsministeriet";14024.5;13625.1;14171.6;14442.1;14123.7;14137.9
"20 Undervisningsministeriet";29838.3;32161.7;40319.7;40176.1;40297.4;40287.9
"21 Kulturministeriet";4442.0;4606.7;5676.8;5518.9;5381.2;5301.1
"22 Kirkeministeriet";526.5;590.5;601.8;620.2;615.5;614.9
"23 Miljøministeriet";1429.2;1512.9;2046.5;2023.7;2010.6;1870.7
"24 Fødevareministeriet";1605.9;1967.9;2003.4;1810.2;1806.0;1750.3
"27 Ministeriet for Familie- og Forbrugeranl";12080.6;12376.3;12519.0;12258.4;12189.8;11984.7
"28 Transport- og Energiministeriet";-3244.0;208.8;273.6;2315.7;2996.7;4902.9
"34 Arbejdsmarkedsfond";-81826.1;-87368.0;-91483.8;-91499.8;-91502.8;-91495.8
"35 Generelle reserver";5707.3;5311.1;13004.1;15772.3;18334.4;19000.7
"36 Pensionsvæsenet";13283.8;14118.0;17055.8;17717.9;18232.6;18612.6
"37 Renter";23571.3;20467.2;19214.8;0.0;0.0;0.0
"38 Skatter og afgifter";-392401.7;-372426.5;-472817.1;0.0;0.0;0.0
"40 Genudlån mv";3189.1;6937.7;7502.9;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";1593.4;2866.0;3078.6;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";75850.5;37550.2;49446.4;0.0;0.0;0.0
