"Paragraf";"2011";"2012";"2013";"2014";"2015";"2016" 
"06 Udenrigsministeriet";0.0;0.0;-111.8;6.4;6.4;6.4
"07 Finansministeriet";0.0;0.0;261.5;70.1;70.1;55.1
"08 Erhvervs- og Vækstministeriet";0.0;0.0;2144.6;156.0;226.1;-35.5
"09 Skatteministeriet";0.0;0.0;5.7;-20.7;-19.9;-19.9
"10 Økonomi- og Indenrigsministeriet";0.0;0.0;53.5;52.7;52.7;52.5
"11 Justitsministeriet";0.0;0.0;904.6;738.7;776.9;802.6
"12 Forsvarsministeriet";0.0;0.0;-392.9;301.7;93.2;-6.8
"14 Ministeriet for By. Bolig og Landdistrikter";0.0;0.0;-77.1;202.1;184.9;184.9
"15 Social- og Integrationsministeriet";0.0;0.0;721.9;-817.7;-1623.2;-2088.8
"16 Ministeriet for Sundhed og Forebyggelse";0.0;0.0;-183.5;-146.9;-176.0;-175.2
"17 Beskæftigelsesministeriet";0.0;0.0;2386.7;3144.2;3979.6;4226.4
"19 Uddannelsesministeriet";0.0;0.0;1258.4;967.4;1311.7;1929.5
"20 Ministeriet for Børn og Undervisning";0.0;0.0;-188.2;-198.0;-232.3;-253.0
"21 Kulturministeriet";0.0;0.0;51.9;51.6;51.0;42.1
"22 Ministeriet for Ligestilling og Kirke";0.0;0.0;5.2;7.3;4.1;4.1
"23 Miljøministeriet";0.0;0.0;167.0;64.0;49.0;37.9
"24 Fødevareministeriet";0.0;0.0;108.2;31.8;31.8;1.8
"28 Transportministeriet";0.0;0.0;-1568.8;223.0;387.3;167.4
"29 Klima-. Energi- og Bygningsministeriet";0.0;0.0;-300.5;-356.1;49.1;539.5
"35 Generelle reserver";0.0;0.0;-5752.3;-4982.4;-6354.7;-6303.4
"36 Pensionsvæsenet";0.0;0.0;-200.0;-75.0;-75.0;-75.0
"37 Renter";0.0;0.0;1561.6;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;10361.1;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-6504.3;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;-1509.1;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;-4260.7;0.0;0.0;0.0
