"Paragraf";"2003";"2004";"2005";"2006";"2007";"2008" 
"03 Folketinget";0.0;0.0;2.0;2.0;2.0;2.0
"05 Statsministeriet";0.0;0.0;11.9;5.8;2.8;2.8
"06 Udenrigsministeriet";0.0;0.0;134.4;2.1;-3.1;-12.4
"07 Finansministeriet";0.0;0.0;-2185.8;-1192.8;6.5;6.1
"08 Økonomi- og Erhvervsministeriet";-2317.5;-1984.5;-4171.7;-2823.3;-964.7;-680.2
"09 Skatteministeriet";15.7;15.7;-319.8;-464.1;-585.7;-705.1
"11 Justitsministeriet";-45.0;-44.5;237.0;195.1;178.8;178.0
"12 Forsvarsministeriet";0.0;0.0;628.8;-3.9;-7.4;-9.7
"15 Socialministeriet";-141.7;-423.4;696.3;1277.8;1689.0;1493.0
"16 Indenrigs- og Sundhedsministeriet";0.0;0.0;237.9;442.7;412.9;404.0
"17 Beskæftigelsesministeriet";-8575.9;-8491.8;-7223.8;-7650.2;-7921.2;-7965.6
"18 Integrationsministeriet";0.0;0.0;125.7;91.5;55.5;53.8
"19 Videnskabsministeriet";0.0;0.0;83.1;-24.0;-14.4;-9.6
"20 Undervisningsministeriet";0.0;0.0;354.8;421.5;551.6;607.1
"21 Kulturministeriet";0.0;0.0;38.8;34.4;27.1;48.8
"22 Kirkeministeriet";0.0;0.0;8.7;4.5;4.5;4.5
"23 Miljøministeriet";0.0;0.0;102.4;-5.3;-2.4;-0.5
"24 Fødevareministeriet";-897.2;-751.9;-770.9;-667.0;-662.7;-671.6
"27 Ministeriet for Familie- og Forbrugeranl";11961.7;11680.4;12219.3;12021.1;11846.8;11738.4
"28 Transport- og Energiministeriet";0.0;0.0;-1266.5;-174.5;7.1;88.5
"34 Arbejdsmarkedsfond";0.0;0.0;-131.0;-2.0;3.0;-1.0
"35 Generelle reserver";0.0;0.0;457.7;-1432.4;-1314.9;-1227.7
"37 Renter";0.0;0.0;219.7;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-2421.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-115.9;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;988.0;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;2059.9;0.0;0.0;0.0
