"Paragraf";"2001";"2002";"2003";"2004";"2005";"2006" 
"05 Statsministeriet";0.0;0.0;3.0;0.0;0.0;0.0
"06 Udenrigsministeriet";0.0;0.0;-2.4;-8.6;-8.6;-8.6
"07 Finansministeriet";90.0;42.4;-579.7;121.4;121.4;254.7
"08 Økonomi- og Erhvervsministeriet";0.0;0.0;-35.2;-421.2;-389.0;-258.0
"09 Skatteministeriet";156.1;163.6;195.4;197.7;173.9;159.1
"11 Justitsministeriet";0.0;0.0;125.0;8.0;10.0;10.0
"12 Forsvarsministeriet";-0.5;-0.4;-0.4;-0.4;-0.4;-0.4
"15 Socialministeriet";-278.7;-232.0;609.5;-11.7;223.4;87.9
"16 Indenrigs- og Sundhedsministeriet";0.0;0.0;380.7;185.2;193.5;191.5
"17 Beskæftigelsesministeriet";0.0;0.0;2355.8;2125.6;2115.3;2146.0
"18 Integrationsministeriet";0.0;0.0;-38.9;-126.4;-281.3;-416.8
"19 Videnskabsministeriet";0.0;0.0;522.7;1088.7;1470.7;154.5
"20 Undervisningsministeriet";0.0;0.0;-50.6;154.7;253.2;328.0
"21 Kulturministeriet";0.0;0.0;11.0;33.5;33.5;12.5
"23 Miljøministeriet";0.5;0.4;45.4;10.4;10.4;15.4
"24 Fødevareministeriet";0.0;0.0;14.3;28.0;25.9;25.7
"28 Trafikministeriet";0.0;0.0;-64.7;385.3;337.5;445.4
"34 Arbejdsmarkedsfond";0.0;0.0;326.0;0.0;0.0;0.0
"35 Generelle reserver";0.0;0.0;-2738.0;-2371.3;-2716.0;-1338.0
"37 Renter";32.6;26.0;-1307.5;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;159.0;-26.0;-26.0;-26.0
"40 Genudlån mv";0.0;0.0;3911.2;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;4044.4;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;-7886.0;0.0;0.0;0.0
