"Paragraf";"2007";"2008";"2009";"2010";"2011";"2012" 
"01 Dronningen";64.4;65.9;69.3;69.3;69.3;69.3
"02 Medlemmer af det kongelige hus mfl";21.1;21.7;23.7;23.7;23.7;23.7
"03 Folketinget";863.6;864.2;932.6;916.4;917.4;917.4
"05 Statsministeriet";120.0;121.4;124.1;112.3;109.6;107.7
"06 Udenrigsministeriet";13035.2;14018.9;15277.2;15637.0;15781.7;15912.8
"07 Finansministeriet";7539.9;7168.7;4987.1;5113.3;5002.9;3904.0
"08 Økonomi- og Erhvervsministeriet";228.7;1916.6;1859.4;2139.6;2074.9;2049.2
"09 Skatteministeriet";5167.3;4214.8;4087.2;3737.8;3549.5;3425.7
"11 Justitsministeriet";11039.5;11311.4;12040.1;12001.7;11695.1;11362.6
"12 Forsvarsministeriet";20697.0;20729.3;21078.2;20638.9;19987.5;19620.1
"15 Indenrigs- og Socialministeriet";241775.1;256789.3;280896.6;285317.9;289411.3;291030.7
"16 Ministeriet for Sundhed og Forebyggelse";4571.6;4850.2;4879.3;2374.5;2208.0;1744.0
"17 Beskæftigelsesministeriet";71207.1;60121.8;59954.7;59106.7;57759.7;56544.8
"18 Integrationsministeriet";2075.7;2077.5;2110.8;1970.8;1911.6;1832.2
"19 Videnskabsministeriet";14978.1;16522.5;17480.8;16009.7;16543.5;16556.6
"20 Undervisningsministeriet";39564.3;42411.6;44459.0;43659.9;43844.9;43645.0
"21 Kulturministeriet";5314.9;5657.3;5975.8;5929.5;5878.8;5798.5
"22 Kirkeministeriet";663.2;744.3;876.0;877.5;876.7;876.0
"23 Miljøministeriet";1759.4;2014.0;2175.4;1768.0;1741.9;1708.8
"24 Fødevareministeriet";2787.1;2609.9;2896.3;2800.9;2702.5;2666.9
"28 Transportministeriet";4847.0;11308.2;12886.3;13131.3;12396.0;11584.3
"29 Klima- og Energiministeriet";-8989.0;-10898.2;-10232.4;-10007.4;-9297.5;-7345.6
"35 Generelle reserver";-5472.1;8047.2;9216.9;15358.3;17277.5;18545.7
"36 Pensionsvæsenet";16853.1;18019.3;19562.7;19835.8;20207.7;20454.7
"37 Renter";16718.9;17330.5;14249.0;0.0;0.0;0.0
"38 Skatter og afgifter";-572469.0;-573021.5;-591392.8;0.0;0.0;0.0
"40 Genudlån mv";8525.9;7817.5;5813.4;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";14908.5;1620.6;1891.8;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";82780.1;64891.0;55561.3;0.0;0.0;0.0
