"Paragraf";"2012";"2013";"2014";"2015";"2016";"2017" 
"06 Udenrigsministeriet";-46.0;-56.5;-31.9;-49.8;-55.1;-39.1
"07 Finansministeriet";0.0;0.0;536.9;22.4;22.4;22.4
"08 Erhvervs- og Vækstministeriet";46.0;46.5;784.9;801.4;876.6;689.7
"09 Skatteministeriet";0.0;0.0;22.2;8.8;7.2;6.0
"10 Økonomi- og Indenrigsministeriet";0.0;0.0;-158.6;-118.3;-118.3;-118.3
"11 Justitsministeriet";0.0;0.0;532.9;28.3;28.0;25.8
"12 Forsvarsministeriet";0.0;0.0;3.0;0.0;0.0;0.0
"14 Ministeriet for By. Bolig og Landdistrikter";0.0;0.0;-157.4;-325.7;-325.1;-325.1
"15 Social-. Børne- og Integrationsministeriet";32.5;19.0;-90.9;609.1;758.9;961.7
"16 Ministeriet for Sundhed og Forebyggelse";0.0;0.0;343.3;193.3;164.7;55.7
"17 Beskæftigelsesministeriet";0.0;0.0;444.3;117.1;396.2;562.8
"19 Uddannelsesministeriet";0.0;0.0;688.9;-78.8;52.1;189.6
"20 Undervisningsministeriet";-32.5;-9.0;293.1;360.8;381.5;377.9
"21 Kulturministeriet";0.0;0.0;15.4;16.3;17.5;17.2
"22 Ministeriet for Ligestilling og Kirke";0.0;0.0;9.0;25.9;10.0;9.0
"23 Miljøministeriet";0.0;0.0;105.0;99.6;101.4;101.4
"24 Fødevareministeriet";0.0;0.0;15.0;0.0;0.0;0.0
"28 Transportministeriet";0.0;0.0;-1411.2;422.3;1030.5;144.0
"29 Klima-. Energi- og Bygningsministeriet";0.0;0.0;6.5;101.9;107.2;110.2
"35 Generelle reserver";0.0;0.0;-3849.2;-1316.8;-1142.6;-1127.3
"37 Renter";0.0;0.0;12.4;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-16395.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-1123.1;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;-439.2;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;19843.7;0.0;0.0;0.0
