"Paragraf";"2002";"2003";"2004";"2005";"2006";"2007" 
"01 Dronningen";550;585;597;597;597;597
"02 Medlemmer af det kongelige hus";75;79;81;81;81;81
"03 Folketinget";7488;7872;7706;7750;7688;7688
"05 Statsministeriet";1175;1212;1126;1065;1065;1065
"06 Udenrigsministeriet";127738;126143;112967;126263;125953;125853
"07 Finansministeriet";17487;25117;32853;33688;33568;33966
"08 Økonomi- og Erhvervsministeriet";23060;16330;7915;10664;13325;15582
"09 Skatteministeriet";32778;32848;33371;32384;31352;30808
"11 Justitsministeriet";82207;80268;79590;76810;76616;76597
"12 Forsvarsministeriet";184573;187071;184838;186016;187179;187180
"15 Socialministeriet";933604;964888;991588;1043952;1081639;1094744
"16 Indenrigs- og Sundhedsministeriet";394395;389665;490227;383039;380219;378528
"17 Beskæftigelsesministeriet";779424;833169;856514;838309;810036;811711
"18 Integrationsministeriet";55773;53973;41037;30021;27446;24983
"19 Videnskabsministeriet";108193;122532;127109;128334;125852;125841
"20 Undervisningsministeriet";288406;301914;307381;305509;309029;308308
"21 Kulturministeriet";38718;39571;41813;41774;41260;40790
"22 Kirkeministeriet";4385;4490;5575;5600;5618;5638
"23 Miljøministeriet";15712;18474;14411;13570;13556;13519
"24 Fødevareministeriet";30482;29714;24399;22742;22252;22264
"28 Trafikministeriet";92064;98925;98439;95047;90371;84957
"34 Arbejdsmarkedsfond";-815811;-813730;-834080;-832620;-831120;-830060
"35 Generelle reserver";55028;54317;97805;115827;122314;131939
"36 Pensionsvæsenet";93201;114758;120877;123115;126768;131162
"37 Renter";371653;342659;307409;00;00;00
"38 Skatter og afgifter";-3179921;-3143454;-3204932;43860;43860;43860
"40 Genudlån mv";89091;138281;75982;00;00;00
"41 Beholdningsbevægelser mv";200802;71951;31555;00;00;00
"42 Afdrag på statsgælden (netto)";-32329;-99622;-54153;00;00;00
