"Paragraf";"2002";"2003";"2004";"2005";"2006";"2007" 
"05 Statsministeriet";00;00;05;05;05;05
"06 Udenrigsministeriet";00;00;779;-240;-280;-330
"07 Finansministeriet";00;00;-4506;-550;-757;-889
"08 Økonomi- og Erhvervsministeriet";00;00;-38506;-21937;-21737;-23837
"09 Skatteministeriet";00;00;514;513;513;513
"11 Justitsministeriet";00;00;9852;10158;10367;8726
"15 Socialministeriet";00;00;10379;13295;12233;12279
"16 Indenrigs- og Sundhedsministeriet";00;00;-1087;311;111;111
"17 Beskæftigelsesministeriet";00;00;33285;26538;33571;33649
"18 Integrationsministeriet";00;00;-1502;-820;148;177
"19 Videnskabsministeriet";00;00;1001;1398;1579;1629
"20 Undervisningsministeriet";00;00;-563;239;-2114;-2810
"21 Kulturministeriet";00;00;609;2380;1483;2436
"23 Miljøministeriet";00;00;1247;217;187;147
"24 Fødevareministeriet";00;00;514;570;570;570
"28 Trafikministeriet";00;00;736;6909;9317;9343
"34 Arbejdsmarkedsfond";00;00;10177;10157;10047;10117
"35 Generelle reserver";00;00;-40925;-34275;-35175;-35825
"37 Renter";00;00;-12648;00;00;00
"38 Skatter og afgifter";00;00;-16340;00;00;00
"40 Genudlån mv";00;00;-25000;00;00;00
"41 Beholdningsbevægelser mv";00;00;-4227;00;00;00
"42 Afdrag på statsgælden (netto)";00;00;76206;00;00;00
