"Paragraf";"2007";"2008";"2009";"2010";"2011";"2012" 
"05 Statsministeriet";0.0;0.0;-0.3;-0.3;-0.2;-0.2
"06 Udenrigsministeriet";0.0;0.0;-36.1;5.0;-203.6;-203.3
"07 Finansministeriet";0.0;0.0;419.8;260.1;188.5;135.0
"08 Økonomi- og Erhvervsministeriet";0.0;0.0;-7.8;-119.8;-126.1;-111.6
"09 Skatteministeriet";0.0;0.0;409.1;5.2;5.1;4.9
"11 Justitsministeriet";0.0;0.0;161.7;234.9;217.6;142.4
"12 Forsvarsministeriet";0.0;0.0;982.5;-36.2;-38.6;-38.4
"15 Indenrigs- og Socialministeriet";0.0;0.0;-383.8;-328.5;-305.2;102.8
"16 Ministeriet for Sundhed og Forebyggelse";0.0;0.0;260.0;284.7;486.6;549.9
"17 Beskæftigelsesministeriet";-13375.7;0.0;1616.3;1490.9;1650.6;1651.0
"18 Integrationsministeriet";0.0;0.0;88.6;46.4;41.3;42.9
"19 Videnskabsministeriet";0.0;0.0;694.6;1436.5;349.6;342.6
"20 Undervisningsministeriet";0.0;0.0;-131.0;-366.3;-491.5;-630.0
"21 Kulturministeriet";0.0;0.0;-30.4;-18.5;-21.3;-20.5
"22 Kirkeministeriet";0.0;0.0;-1.6;-1.1;-1.1;-1.0
"23 Miljøministeriet";0.0;0.0;-79.1;-85.2;-90.1;-89.6
"24 Fødevareministeriet";0.0;0.0;-159.7;-148.4;-153.6;-155.0
"28 Transportministeriet";0.0;0.0;-59.9;-13.4;-13.4;-13.2
"29 Klima- og Energiministeriet";0.0;0.0;7729.7;4414.8;3186.4;1890.4
"35 Generelle reserver";13375.7;0.0;283.3;-2451.3;-1097.2;-1043.7
"36 Pensionsvæsenet";0.0;0.0;0.0;0.0;0.0;0.0
"37 Renter";0.0;0.0;1130.6;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;45752.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-1140.1;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;-2197.9;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;-55376.0;0.0;0.0;0.0
