"Paragraf";"2011";"2012";"2013";"2014";"2015";"2016" 
"01 Dronningen";75.3;71.8;72.1;72.1;72.1;72.1
"02 Medlemmer af det kongelige hus mfl";25.6;24.6;24.7;24.7;24.7;24.7
"03 Folketinget";989.0;988.3;1023.5;1004.6;1004.6;1004.1
"05 Statsministeriet";131.8;125.7;141.0;141.6;139.5;137.5
"06 Udenrigsministeriet";13532.8;15064.5;15503.4;15563.9;15457.5;15449.2
"07 Finansministeriet";21172.1;21143.7;21138.4;21105.0;21699.3;22411.6
"08 Erhvervs- og Vækstministeriet";5683.1;86.3;274.1;521.1;499.0;544.6
"09 Skatteministeriet";4277.0;4195.9;4084.3;3668.4;3707.6;3556.1
"10 Økonomi- og Indenrigsministeriet";200243.5;204371.0;195816.1;195997.1;196748.0;197723.5
"11 Justitsministeriet";14916.2;14677.2;14385.0;13709.9;13568.3;13249.8
"12 Forsvarsministeriet";21811.4;23285.5;23506.9;23469.6;20799.6;20796.4
"14 Ministeriet for By. Bolig og Landdistrikter";-7287.5;1554.1;2125.8;2072.8;2012.0;1994.2
"15 Social- og Integrationsministeriet";132060.8;138891.9;143119.3;145623.0;147718.8;149842.2
"16 Ministeriet for Sundhed og Forebyggelse";5909.8;6100.2;5290.4;2181.6;2034.5;1805.1
"17 Beskæftigelsesministeriet";57128.4;76488.3;54672.2;54148.9;52830.4;51027.1
"19 Uddannelsesministeriet";42438.1;44081.0;45237.3;45887.2;45933.1;44514.0
"20 Ministeriet for Børn og Undervisning";27627.9;29752.7;30256.4;30286.1;30195.0;29870.2
"21 Kulturministeriet";6395.5;6441.5;6389.4;6311.3;6305.5;6236.2
"22 Ministeriet for Ligestilling og Kirke";642.5;607.8;606.1;597.3;568.1;566.2
"23 Miljøministeriet";1712.7;1862.0;1694.4;1586.6;1546.7;1511.3
"24 Fødevareministeriet";2744.8;2656.0;2415.6;2298.3;2245.5;2217.5
"28 Transportministeriet";15417.8;22958.8;22824.3;21375.8;16969.9;15152.9
"29 Klima-. Energi- og Bygningsministeriet";-9870.6;-913.8;-3206.4;-2348.5;-2375.9;-4255.6
"35 Generelle reserver";8944.8;10624.5;17112.1;18598.6;19562.4;21506.9
"36 Pensionsvæsenet";19937.8;21786.0;22257.8;22541.7;22750.3;22891.0
"37 Renter";18267.2;18933.5;20151.7;0.0;0.0;0.0
"38 Skatter og afgifter";-571019.7;-579300.3;-642512.9;0.0;0.0;0.0
"40 Genudlån mv";-2873.7;2833.4;24321.3;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";-55.4;-11651.3;4132.0;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";-30201.6;-78877.2;-33694.0;0.0;0.0;0.0
